Id,SalePrice
1461,117806.77703775172
1462,161410.73286778622
1463,187087.11792027275
1464,198441.64684197598
1465,197873.7579215092
1466,166386.3344243925
1467,175661.4963056884
1468,158568.49851822757
1469,195510.6069581772
1470,115807.64773148728
1471,187859.49495515783
1472,96860.6277273287
1473,95936.86461035996
1474,149470.94160653267
1475,115212.85960692412
1476,364931.06435683754
1477,253422.49260883513
1478,290540.26822055166
1479,288342.65099283407
1480,476778.5749423962
1481,326115.0315923106
1482,210921.34068857442
1483,178841.13835821988
1484,161420.0888718236
1485,192344.1518528758
1486,196336.35728673474
1487,332576.53917575
1488,234348.53776146597
1489,200971.2444207846
1490,232489.02259748272
1491,197792.28354798612
1492,94620.52897364098
1493,186260.2336202333
1494,302172.03763866844
1495,285942.3635822461
1496,233517.7223122216
1497,183242.09059688036
1498,174197.84865383018
1499,165712.792618931
1500,153645.19158537887
1501,172857.0352398929
1502,145374.58702447102
1503,303813.0612308126
1504,242749.24694858002
1505,225320.88250136262
1506,184735.02079963931
1507,248355.73565424306
1508,207277.70159295923
1509,162114.84661174228
1510,142558.1608097802
1511,151840.06352566852
1512,172713.09055813696
1513,140279.31672762532
1514,165018.0362819446
1515,194392.8211843048
1516,152357.3529803638
1517,175377.60790692063
1518,134865.56579738372
1519,213972.07928062393
1520,128912.08638058158
1521,133062.8199718346
1522,175995.25316496252
1523,114319.1366812459
1524,125441.81085612507
1525,119342.06968265137
1526,115423.32010669401
1527,108847.89796721964
1528,140369.68744330318
1529,152346.43081910626
1530,178630.87240646323
1531,102983.54398075049
1532,96028.88488989604
1533,149426.74623240865
1534,124348.3368051075
1535,155626.4025070484
1536,108925.85658890054
1537,64365.95696073105
1538,153427.73201888238
1539,184094.7245594166
1540,93012.82519146412
1541,137158.05524588295
1542,139434.32474550037
1543,208468.76411405855
1544,86855.06642800644
1545,114899.09288431804
1546,131983.10154316257
1547,132482.60014037817
1548,138203.44069161057
1549,117370.38163400131
1550,132127.42181083915
1551,109908.04637123046
1552,132529.41085307146
1553,151635.03591942127
1554,116726.87800670565
1555,167807.48422258414
1556,88703.7509593606
1557,107971.20836347599
1558,98995.82231495598
1559,70516.12959105863
1560,125104.16954513133
1561,130915.00681018327
1562,134377.57961758875
1563,119913.02976195446
1564,163788.4324346637
1565,151139.3041423854
1566,243832.28631393344
1567,73132.82567751339
1568,233691.88543234763
1569,135724.13304014824
1570,138755.0363692484
1571,126091.76428298668
1572,146827.3318823821
1573,269923.5225978251
1574,115878.20976920082
1575,230222.94449667475
1576,246522.91691318894
1577,184083.692966812
1578,140933.8747784687
1579,148237.7833628605
1580,197260.65693014945
1581,160971.0508897931
1582,123347.60630966765
1583,303170.8970065222
1584,220565.44806397447
1585,133765.78833854455
1586,72769.59115817236
1587,105043.6409624588
1588,157552.07546590143
1589,99683.00144132371
1590,135786.0977856684
1591,94819.26324689266
1592,119979.6158602048
1593,125078.03978057831
1594,126781.60528771966
1595,107561.83894786556
1596,226497.58198101298
1597,204525.5661545022
1598,234912.1907048844
1599,171165.72170358646
1600,165251.5425949363
